Date,Sales
2014-01-06,2573.82
2014-01-07,76.728
2014-01-08,68.46533333333333
2014-01-09,60.20266666666666
2014-01-10,51.94
2014-01-11,9.94
2014-01-12,444.9395
2014-01-13,879.9390000000001
2014-01-14,61.96
2014-01-15,94.53200000000001
2014-01-16,127.104
2014-01-17,145.226
2014-01-18,163.348
2014-01-19,181.47
2014-01-20,1413.51
2014-01-21,25.248
2014-01-22,63.638400000000004
2014-01-23,102.0288
2014-01-24,140.4192
2014-01-25,178.8096
2014-01-26,217.2
2014-01-27,333.0
2014-01-28,322.4165
2014-01-29,311.83299999999997
2014-01-30,301.2495
2014-01-31,290.666
2014-02-01,256.15274999999997
2014-02-02,221.6395
2014-02-03,187.12625
2014-02-04,152.613
2014-02-05,118.09975
2014-02-06,83.5865
2014-02-07,49.07325
2014-02-08,14.56
2014-02-09,559.7233333333332
2014-02-10,1104.8866666666665
2014-02-11,1650.05
2014-02-12,129.568
2014-02-13,112.16666666666667
2014-02-14,94.76533333333333
2014-02-15,77.364
2014-02-16,59.962666666666664
2014-02-17,42.56133333333332
2014-02-18,25.16
2014-02-19,22.740000000000002
2014-02-20,20.32
2014-02-21,228.5061111111111
2014-02-22,436.6922222222222
2014-02-23,644.8783333333333
2014-02-24,853.0644444444445
2014-02-25,1061.2505555555554
2014-02-26,1269.4366666666665
2014-02-27,1477.6227777777776
2014-02-28,1685.8088888888888
2014-03-01,1893.995
2014-03-02,1411.3984999999998
2014-03-03,928.8019999999999
2014-03-04,938.3474999999999
2014-03-05,947.8929999999999
2014-03-06,957.4385
2014-03-07,966.9839999999999
2014-03-08,727.318
2014-03-09,487.652
2014-03-10,247.986
2014-03-11,8.32
2014-03-12,385.52000000000004
2014-03-13,762.7200000000001
2014-03-14,1139.92
2014-03-15,45.696
2014-03-16,1655.463
2014-03-17,3265.23
2014-03-18,1462.4499999999998
2014-03-19,25.008
2014-03-20,138.168
2014-03-21,251.328
2014-03-22,314.352
2014-03-23,177.416
2014-03-24,40.48
2014-03-25,366.786
2014-03-26,749.6266666666667
2014-03-27,1132.4673333333333
2014-03-28,1515.308
2014-03-29,890.841
2014-03-30,332.968
2014-03-31,1125.488
2014-04-01,651.5840000000001
2014-04-02,177.68
2014-04-03,91.575
2014-04-04,5.47
2014-04-05,469.427
2014-04-06,933.384
2014-04-07,8.96
2014-04-08,1487.622
2014-04-09,1192.84125
2014-04-10,898.0605
2014-04-11,603.27975
2014-04-12,308.499
2014-04-13,268.2526666666667
2014-04-14,228.00633333333332
2014-04-15,187.76
2014-04-16,230.85933333333332
2014-04-17,273.95866666666666
2014-04-18,317.058
2014-04-19,76.14
2014-04-20,1205.61
2014-04-21,998.7666666666667
2014-04-22,791.9233333333334
2014-04-23,585.08
2014-04-24,1187.685
2014-04-25,1790.29
2014-04-26,230.28
2014-04-27,363.8546666666666
2014-04-28,497.42933333333326
2014-04-29,631.0039999999999
2014-04-30,512.7312
2014-05-01,394.4583999999999
2014-05-02,276.1855999999999
2014-05-03,157.91279999999995
2014-05-04,39.64
2014-05-05,127.869
2014-05-06,597.2195
2014-05-07,1066.5700000000002
2014-05-08,913.2963333333335
2014-05-09,760.0226666666667
2014-05-10,606.749
2014-05-11,1279.0720000000001
2014-05-12,734.846
2014-05-13,279.456
2014-05-14,310.88
2014-05-15,271.88
2014-05-16,232.88
2014-05-17,191.05599999999998
2014-05-18,149.232
2014-05-19,149.712
2014-05-20,150.192
2014-05-21,107.772
2014-05-22,88.159
2014-05-23,68.546
2014-05-24,48.93300000000001
2014-05-25,29.32
2014-05-26,875.7339999999999
2014-05-27,567.12
2014-05-28,496.565
2014-05-29,426.01
2014-05-30,355.455
2014-05-31,1189.7575
2014-06-01,2024.06
2014-06-02,73.32
2014-06-03,577.424
2014-06-04,424.48799999999994
2014-06-05,708.126
2014-06-06,991.764
2014-06-07,268.935
2014-06-08,755.904
2014-06-09,3233.7439999999997
2014-06-10,2629.5832
2014-06-11,2025.4224
2014-06-12,1421.2616
2014-06-13,817.1008000000002
2014-06-14,212.94
2014-06-15,897.862
2014-06-16,647.84
2014-06-17,6.24
2014-06-18,68.5152
2014-06-19,130.79039999999998
2014-06-20,193.0656
2014-06-21,107.994
2014-06-22,1023.9879999999999
2014-06-23,514.13
2014-06-24,4.272
2014-06-25,447.84
2014-06-26,266.90999999999997
2014-06-27,85.98
2014-06-28,1228.465
2014-06-29,1086.2179999999998
2014-06-30,943.971
2014-07-01,801.7239999999999
2014-07-02,659.477
2014-07-03,517.23
2014-07-04,374.98299999999995
2014-07-05,232.73600000000002
2014-07-06,478.48
2014-07-07,241.19400000000002
2014-07-08,566.37
2014-07-09,119.833
2014-07-10,549.4415
2014-07-11,979.0500000000001
2014-07-12,1333.846
2014-07-13,351.216
2014-07-14,31.984
2014-07-15,88.772
2014-07-16,145.56
2014-07-17,202.348
2014-07-18,259.136
2014-07-19,70.56
2014-07-20,1041.132
2014-07-21,1732.346
2014-07-22,888.072
2014-07-23,618.0213333333334
2014-07-24,347.9706666666666
2014-07-25,77.92
2014-07-26,919.448
2014-07-27,524.668
2014-07-28,129.888
2014-07-29,748.864
2014-07-30,1367.84
2014-07-31,705.9839999999999
2014-08-01,44.128
2014-08-02,131.43900000000002
2014-08-03,218.75
2014-08-04,1090.737
2014-08-05,1962.724
2014-08-06,1527.9733333333334
2014-08-07,1093.2226666666666
2014-08-08,658.472
2014-08-09,443.09799999999996
2014-08-10,227.724
2014-08-11,12.35
2014-08-12,85.44
2014-08-13,122.00533333333334
2014-08-14,158.57066666666668
2014-08-15,195.136
2014-08-16,853.092
2014-08-17,878.0813333333333
2014-08-18,903.0706666666667
2014-08-19,928.0600000000001
2014-08-20,921.6120000000001
2014-08-21,615.816
2014-08-22,310.0200000000001
2014-08-23,4.224
2014-08-24,13.28
2014-08-25,6.28
2014-08-26,10.68
2014-08-27,1232.06
2014-08-28,703.05925
2014-08-29,174.0585
2014-08-30,148.221375
2014-08-31,122.38425000000001
2014-09-01,96.547125
2014-09-02,70.71
2014-09-03,57.80133333333333
2014-09-04,44.89266666666667
2014-09-05,31.984
2014-09-06,41.88
2014-09-07,1714.5929999999998
2014-09-08,3855.444
2014-09-09,864.024
2014-09-10,1741.94
2014-09-11,127.95
2014-09-12,3825.852
2014-09-13,354.306
2014-09-14,629.78
2014-09-15,118.49600000000001
2014-09-16,76.918
2014-09-17,35.34
2014-09-18,498.179
2014-09-19,961.0179999999999
2014-09-20,3071.6400000000003
2014-09-21,8.544
2014-09-22,676.9680000000001
2014-09-23,435.999
2014-09-24,368.2659
2014-09-25,300.5328
2014-09-26,752.304
2014-09-27,691.4599999999999
2014-09-28,337.088
2014-09-29,3153.3880000000004
2014-09-30,15.24
2014-10-01,195.43966666666665
2014-10-02,375.6393333333333
2014-10-03,555.8389999999999
2014-10-04,589.41
2014-10-05,436.24666666666667
2014-10-06,283.0833333333333
2014-10-07,129.92
2014-10-08,143.02133333333333
2014-10-09,156.12266666666665
2014-10-10,169.224
2014-10-11,505.958
2014-10-12,1025.244
2014-10-13,1544.53
2014-10-14,1628.82
2014-10-15,198.75600000000003
2014-10-16,102.03400000000002
2014-10-17,5.312
2014-10-18,1151.22
2014-10-19,739.905
2014-10-20,328.59
2014-10-21,1000.9100000000001
2014-10-22,223.808
2014-10-23,183.836
2014-10-24,143.864
2014-10-25,103.89200000000001
2014-10-26,63.92
2014-10-27,340.45900000000006
2014-10-28,616.998
2014-10-29,1608.342666666667
2014-10-30,2599.6873333333333
2014-10-31,3591.032
2014-11-01,100.38399999999999
2014-11-02,89.34
2014-11-03,1355.388
2014-11-04,744.9499999999999
